mesa registrados votaron pro eco blanco impugnado nulo recurrido tecnico
228 350 223 55.16 35.87 8.97 0 0 0 0
229 347 216 52.8 40.65 6.54 0 0.93 0 0
230 350 207 50.49 46.12 3.4 0 0.49 0 0
231 350 223 52.27 40.91 6.82 0 1.36 0 0
232 348 203 51.74 41.29 6.97 0 0.5 0 0.5
233 347 220 55.45 40 4.55 0 0 0 0
234 347 214 56.07 37.38 6.54 0 0 0 0
235 350 208 55.34 38.35 6.31 0.49 0.49 0 0
236 346 198 59.07 35.23 5.7 0 2.59 0 0
237 348 216 53.05 40.38 6.57 0 1.41 0 0
238 350 223 57.21 39.19 3.6 0 0.45 0 0
239 350 217 55.09 41.67 3.24 0 0 0 0.46
240 350 212 52.36 41.04 6.6 0 0 0 0
241 348 193 55.03 37.57 7.41 0 2.12 0 0
242 346 199 57.79 36.18 6.03 0 0 0 0
243 347 209 52.88 41.83 5.29 0 0.48 0 0
244 351 208 50.97 43.2 5.83 0 0.97 0 0
245 350 209 53.14 40.58 6.28 0 0.97 0 0
246 350 217 54.17 42.59 3.24 0 0.46 0 0
247 348 201 55.33 39.59 5.08 0 2.03 0 0
248 349 201 53 43 4 0 0.5 0 0
249 349 216 53.95 41.4 4.65 0 0.47 0 0
250 348 213 60.09 37.56 2.35 0 0 0 0
251 347 221 48.86 46.58 4.57 0 0.91 0 0
252 349 230 64.04 32.46 3.51 0 0.88 0 0
253 349 206 54.15 40 5.85 0 0.49 0 0
254 349 210 53.33 43.33 3.33 0 0 0 0
255 348 211 52.86 43.81 3.33 0 0.48 0 0
256 349 200 45.96 49.49 4.55 0 1.01 0 0
257 346 210 59.33 37.32 3.35 0 0.48 0 0
258 348 211 53.55 42.65 3.79 0 0 0 0
259 350 214 54.76 41.43 3.81 0 1.9 0 0
260 343 206 49.03 45.15 5.83 0 0 0 0
261 345 217 47.69 46.3 6.02 0 0.46 0 0
262 344 200 41.41 52.53 6.06 0 1.01 0 0
263 344 189 50.27 42.25 7.49 0 1.07 0 0
264 348 203 52.5 41.5 6 0 1.5 0 0
265 345 208 48.06 45.63 6.31 0 0.97 0 0
266 346 223 51.13 43.44 5.43 0 0.9 0 0
267 343 204 43.07 50 6.93 0 0.5 0 0.5
268 345 204 46.31 45.81 7.88 0 0 0 0.49
269 345 212 46.7 46.7 6.6 0 0 0 0
270 346 187 49.46 42.93 7.61 0 1.63 0 0
271 344 204 48.5 45 6.5 0 1 0 1
272 346 189 50.53 47.34 2.13 0 0.53 0 0
273 345 200 42.93 49.49 7.58 0 1.01 0 0
274 346 208 53.62 42.03 4.35 0 0.48 0 0
275 345 183 51.65 41.76 6.59 0 0 0 0.55
276 344 187 49.46 42.39 8.15 0 1.63 0 0
277 345 189 43.55 49.46 6.99 0 1.61 0 0
278 347 197 47.72 45.69 6.6 0 0 0 0
279 347 200 48.74 44.72 6.53 0 0.5 0 0
280 344 202 49.5 41.09 9.41 0 0 0 0
281 343 195 50 44.85 5.15 0.52 0 0 0
282 344 205 48.53 42.16 9.31 0 0.49 0 0
283 343 187 48.35 44.51 7.14 0 2.75 0 0
284 345 205 50.24 44.39 5.37 0 0 0 0
285 343 195 46.11 45.08 8.81 0 1.04 0 0
286 346 193 49.74 42.41 7.85 0 1.05 0 0
287 344 207 43.63 50.49 5.88 0 1.47 0 0
288 342 192 46.07 45.55 8.38 0 0.52 0 0
289 344 207 46.86 45.41 7.73 0 0 0 0
290 342 204 44.33 50.25 5.42 0 0 0 0.49
291 344 201 44.72 51.76 3.52 0 0.5 0 0.5
292 344 196 45.13 49.74 5.13 0 0.51 0 0
293 344 190 49.47 46.84 3.68 0 0 0 0
294 343 190 46.03 51.85 2.12 0 0.53 0 0
295 345 210 54.55 40.67 4.78 0 0.48 0 0
296 343 188 50.27 43.32 6.42 0 0.53 0 0
297 342 206 51.72 40.39 7.88 0 1.48 0 0
298 344 207 51.71 40 8.29 0 0.98 0 0
299 345 206 47.55 46.08 6.37 0 0.98 0 0
300 344 201 46.27 47.76 5.97 0 0 0 0
301 344 217 51.16 41.86 6.98 0 0.93 0 0
302 344 234 48.7 47.83 3.48 0 1.3 0 0.43
303 342 215 46.95 46.01 7.04 0 0.47 0.47 0
304 345 216 43.19 51.64 5.16 0 1.41 0 0
305 346 229 47.09 48.43 4.48 0 2.69 0 0
306 344 224 45.74 46.19 8.07 0 0.45 0 0
307 341 207 43.9 48.78 7.32 0.98 0 0 0
308 344 188 46.28 50.53 3.19 0 0 0 0
309 345 222 49.77 42.4 7.83 0 2.3 0 0
310 345 206 44.06 50.5 5.45 0 1.98 0 0
311 343 211 55.24 37.62 7.14 0 0.48 0 0
312 345 178 57.39 36.93 5.68 0 1.14 0 0
313 343 212 48.8 44.5 6.7 0 1.44 0 0
314 344 212 52.63 43.54 3.83 0 1.44 0 0
315 344 210 50.95 40 9.05 0 0 0 0
316 343 203 42.5 52 5.5 0 1.5 0 0
317 348 214 48.58 46.23 5.19 0 0.94 0 0
318 346 207 51.47 40.69 7.84 0 1.47 0 0
319 345 208 55.77 39.42 4.81 0 0 0 0
320 343 219 47.71 47.25 5.05 0 0.46 0 0
321 346 227 48.21 43.75 8.04 0 1.34 0 0
322 346 222 53.42 43.84 2.74 0 1.37 0 0
323 345 221 49.55 44.09 6.36 0 0.45 0 0
324 344 197 47.69 42.56 9.74 0 1.03 0 0
325 345 216 48.37 45.58 6.05 0 0.47 0 0
326 345 206 47.29 46.8 5.91 0 1.48 0 0
327 346 209 50.24 43.96 5.8 0 0.97 0 0
328 343 195 45.08 48.7 6.22 0 1.04 0 0
329 344 218 47.47 46.54 5.99 0 0.46 0 0
330 343 200 48.5 45 6.5 0 0 0 0
331 350 219 47.2 46.73 6.07 0 2.34 0 0
332 351 219 47.22 45.83 6.94 0 1.39 0 0
333 350 227 45.54 47.77 6.7 0 1.34 0 0
334 349 223 46.64 48.88 4.48 0 0 0 0
335 348 220 43.52 50 6.48 0 1.85 0 0
336 352 225 39.64 53.6 6.76 0 0.45 0 0.9
337 350 234 48.7 47.39 3.91 0 1.74 0 0
338 351 222 42.4 48.85 8.76 0 1.38 0 0.92
339 351 235 47.62 47.62 4.76 0 0.87 0.87 0
340 350 235 43.1 51.72 5.17 0 1.29 0 0
341 352 226 45.05 48.65 6.31 0 1.8 0 0
342 349 233 43.72 52.81 3.46 0 0.87 0 0
343 350 211 46.86 49.28 3.86 0 1.93 0 0
344 350 228 46.22 44.89 8.89 0 1.33 0 0
345 350 207 47.55 45.1 7.35 0 1.47 0 0
346 349 221 45.91 48.64 5.45 0 0.45 0 0
347 350 218 48.36 43.19 8.45 0 1.88 0 0.47
348 350 211 43.54 52.15 4.31 0 0.48 0 0.48
349 351 213 46.45 49.29 4.27 0 0.95 0 0
350 349 218 46.45 51.18 2.37 0 3.32 0 0
351 348 231 42.11 52.63 5.26 0 1.32 0 0
352 350 245 51.04 43.57 5.39 0 1.24 0 0.41
353 349 232 53.25 42.42 4.33 0 0.43 0 0
354 350 226 41.7 50.22 8.07 0 1.35 0 0
355 352 224 55.8 40.18 4.02 0 0 0 0
356 352 242 48.35 46.28 5.37 0 0 0 0
357 350 223 49.1 45.95 4.95 0 0.45 0 0
358 352 221 41.82 47.73 10.45 0 0.45 0 0
359 354 224 49.1 47.75 3.15 0 0.9 0 0
360 350 219 45.83 49.07 5.09 0 0.46 0.46 0.46
361 350 209 55.61 38.05 6.34 0 1.95 0 0
362 348 225 46.15 49.32 4.52 0 1.81 0 0
363 351 225 44.2 48.66 7.14 0 0.45 0 0
364 350 217 45.79 48.13 6.07 0 1.4 0 0
365 352 224 45.29 47.53 7.17 0 0.45 0 0
366 351 226 40.63 51.79 7.59 0 0.89 0 0
367 344 196 50 45.31 4.69 0 1.56 0.52 0
368 348 216 49.53 46.26 4.21 0 0.93 0 0
