mesa,registrados,votaron,pro,eco,blanco,impugnado,nulo,recurrido,tecnico
452,345,221,85,103,29,0,4,0,0
453,346,230,98,116,15,1,0,0,0
454,347,228,98,115,13,0,2,0,0
455,351,232,86,124,18,0,4,0,0
456,350,231,106,115,8,0,2,0,0
457,348,226,93,106,23,0,4,0,0
458,349,234,108,106,17,0,3,0,0
459,350,212,96,108,7,0,1,0,0
460,347,205,106,90,7,0,2,0,0
461,350,237,101,116,17,0,3,0,0
462,348,231,106,108,17,0,0,0,0
463,350,198,85,95,17,0,1,0,0
464,346,236,111,105,14,0,6,0,0
465,349,220,122,81,14,0,3,0,0
466,349,224,86,126,10,0,2,0,0
467,348,204,89,100,11,0,4,0,0
468,348,193,80,98,13,2,0,0,0
469,349,209,90,111,7,0,1,0,0
470,347,208,84,111,9,0,4,0,0
471,345,213,94,101,14,0,4,0,0
472,347,216,112,95,8,0,1,0,0
473,346,207,105,89,13,0,0,0,0
474,345,210,86,110,11,0,3,0,0
475,346,211,108,88,14,1,0,0,0
476,348,201,104,84,8,0,5,0,0
477,345,208,100,97,9,0,2,0,0
478,346,211,77,116,18,0,0,0,0
479,347,213,95,102,12,0,4,0,0
480,343,214,100,93,19,0,2,0,0
481,346,204,95,101,8,0,0,0,0
482,345,202,92,94,15,0,1,0,0
483,344,208,107,90,10,0,1,0,0
484,345,216,108,90,16,0,2,0,0
485,344,229,115,101,11,0,2,0,0
486,346,201,91,94,15,0,1,0,0
487,348,214,87,109,16,0,2,0,0
488,347,216,103,99,13,0,1,0,0
489,345,226,88,115,21,0,2,0,0
490,346,220,98,106,14,0,2,0,0
491,347,213,100,101,12,0,0,0,0
492,346,219,110,95,12,0,2,0,0
493,344,220,81,115,21,0,3,0,0
494,349,221,103,108,6,0,4,0,0
495,346,205,95,97,13,0,0,0,0
496,348,207,105,97,4,0,1,0,0
497,345,197,82,101,10,0,4,0,0
498,343,234,99,123,8,0,4,0,0
499,346,213,111,85,15,0,2,0,0
500,347,212,92,107,13,0,0,0,0
501,347,220,105,101,12,0,2,0,0
502,343,191,81,97,11,0,2,0,0
503,346,206,91,100,13,0,2,0,0
504,345,204,100,87,17,0,0,0,0
505,344,221,109,94,16,0,2,0,0
506,344,217,108,100,9,0,0,0,0
507,348,221,122,83,16,0,0,0,0
508,345,211,95,93,18,0,5,0,0
509,344,201,111,72,17,0,1,0,0
510,346,219,111,96,11,0,1,0,0
511,346,214,96,95,18,0,5,0,0
512,344,218,100,107,9,0,2,0,0
513,346,210,86,113,11,0,0,0,0
514,344,210,90,98,17,2,3,0,0
515,346,222,109,100,10,0,3,0,0
516,345,218,101,102,13,0,1,0,1
517,345,217,117,80,19,0,1,0,0
518,345,212,107,92,13,0,0,0,0
519,348,222,86,114,18,0,4,0,0
520,347,211,92,107,10,0,0,0,2
521,347,208,130,67,8,0,0,0,3
522,350,203,126,68,8,0,1,0,0
523,346,216,160,45,10,0,1,0,0
524,346,203,138,60,4,0,1,0,0
525,349,231,159,67,4,0,1,0,0
526,345,221,130,79,11,0,1,0,0
527,348,220,158,55,6,0,1,0,0
528,345,212,137,71,3,0,1,0,0
529,347,206,147,53,6,0,0,0,0
530,345,206,142,60,3,0,1,0,0
531,344,222,155,65,1,0,1,0,0
532,344,207,147,51,7,0,2,0,0
533,345,198,145,47,6,0,0,0,0
534,346,208,143,58,7,0,0,0,0
535,348,202,141,53,6,0,2,0,0
536,347,202,148,46,8,0,0,0,0
537,344,210,153,50,4,0,3,0,0
538,347,216,164,45,7,0,0,0,0
539,344,204,134,66,4,0,0,0,0
540,345,205,145,48,12,0,0,0,0
541,345,198,127,66,2,0,3,0,0
542,348,211,131,72,4,0,3,0,1
543,344,199,126,69,4,0,0,0,0
544,341,221,153,61,7,0,0,0,0
545,345,218,176,35,5,0,1,0,1
546,343,214,155,56,2,0,1,0,0
547,342,201,159,37,5,0,0,0,0
548,342,212,180,27,4,0,1,0,0
549,343,213,162,42,8,0,1,0,0
550,342,231,191,34,5,0,1,0,0
551,343,216,179,31,6,0,0,0,0
552,340,210,150,48,11,0,0,0,1
553,343,226,165,52,7,0,2,0,0
554,346,216,164,47,5,0,0,0,0
555,343,210,165,39,5,0,1,0,0
556,344,223,187,27,8,0,1,0,0
557,343,217,163,49,4,0,1,0,0
558,342,220,165,49,6,0,0,0,0
559,343,226,177,43,6,0,0,0,0
560,345,205,158,44,3,0,0,0,0
561,343,241,195,37,9,0,0,0,0
562,345,210,161,47,2,0,0,0,0
563,343,221,165,49,7,0,0,0,0
564,344,191,134,50,7,0,0,0,0
565,343,215,177,35,2,0,1,0,0
566,344,204,154,45,4,0,0,0,1
567,341,232,183,41,7,0,1,0,0
568,344,214,170,39,5,0,0,0,0
569,344,202,161,31,7,0,3,0,0
570,343,214,163,44,7,0,0,0,0
571,344,230,182,41,6,0,0,0,1
572,342,207,157,48,1,0,1,0,0
573,343,223,171,42,8,0,2,0,0
574,346,218,169,47,2,0,0,0,0
575,343,212,161,46,4,0,1,0,0
576,340,216,168,40,7,0,1,0,0
577,342,204,153,47,4,0,0,0,0
578,344,206,148,56,2,0,0,0,0
579,341,203,167,31,3,0,1,0,1
580,342,214,163,42,9,0,0,0,0
581,342,228,168,51,9,0,0,0,0
582,346,218,180,30,7,0,1,0,0
583,341,207,167,36,4,0,0,0,0
584,342,197,147,46,4,0,0,0,0
585,348,224,142,72,9,0,1,0,0
586,344,215,123,84,6,0,2,0,0
587,348,230,135,84,11,0,0,0,0
588,346,228,136,86,5,0,1,0,0
589,349,238,120,106,9,0,3,0,0
590,350,235,141,84,9,0,1,0,0
591,348,240,158,71,11,0,0,0,0
592,350,228,144,74,8,0,1,0,1
593,348,249,143,96,9,0,1,0,0
594,347,228,151,72,4,0,1,0,0
595,345,222,118,96,7,0,1,0,0
596,345,230,151,70,6,0,3,0,0
597,347,245,163,80,2,0,0,0,0
598,347,240,135,94,10,0,1,0,0
599,348,231,136,83,11,0,1,0,0
600,346,229,142,76,11,0,0,0,0
601,346,242,129,108,5,0,0,0,0
602,343,238,150,79,8,0,1,0,0
603,345,242,133,97,10,0,2,0,0
604,345,229,126,92,11,0,0,0,0
605,347,244,146,86,9,0,2,0,1
606,345,226,133,74,15,0,4,0,0
607,346,229,129,89,8,0,3,0,0
608,347,219,130,76,13,0,0,0,0
609,345,238,140,87,7,0,4,0,0
610,344,226,134,82,9,0,0,0,1
611,347,253,142,102,5,0,4,0,0
612,344,222,135,75,8,0,4,0,0
613,346,237,143,85,8,0,1,0,0
614,344,224,134,84,5,0,1,0,0
615,347,229,152,70,6,0,1,0,0
616,345,230,140,82,7,0,1,0,0
617,346,233,137,81,11,1,3,0,0
618,345,239,139,89,8,0,2,0,1
619,343,245,152,87,6,0,0,0,0
620,345,241,137,91,13,0,0,0,0
621,347,249,144,93,10,0,1,0,1
622,345,239,141,88,7,0,3,0,0
623,344,239,119,100,18,0,2,0,0
624,346,245,133,100,10,0,2,0,0
625,346,244,137,94,11,0,2,0,0
626,344,230,137,80,12,0,1,0,0
627,347,222,129,81,11,0,1,0,0
628,344,234,127,96,7,0,4,0,0
629,345,238,131,93,12,0,2,0,0
630,346,231,135,87,9,0,0,0,0
631,347,236,149,81,4,0,2,0,0
632,344,227,133,87,6,0,1,0,0
633,348,230,132,86,10,0,0,2,0
634,347,236,135,90,10,0,1,0,0
635,346,239,132,93,14,0,0,0,0
636,349,216,130,83,3,0,0,0,0
637,347,239,141,88,4,0,6,0,0
638,349,247,147,85,12,0,2,1,0
639,349,231,141,84,3,0,3,0,0
640,350,245,144,89,10,0,2,0,0
641,349,253,157,79,14,0,3,0,0
642,347,233,138,83,9,0,3,0,0
643,348,235,127,96,10,0,2,0,0
644,348,241,133,99,8,0,1,0,0
645,349,244,148,85,11,0,0,0,0
646,348,236,137,90,6,0,3,0,0
647,350,243,133,100,6,1,3,0,0
648,346,230,149,68,12,0,1,0,0
649,351,238,138,87,11,0,2,0,0
650,348,235,148,82,4,0,1,0,0
651,347,240,142,82,15,0,1,0,0
652,349,216,132,78,4,0,1,0,1
653,346,248,158,81,9,0,0,0,0
654,346,247,154,81,8,0,4,0,0
655,352,252,150,87,15,0,0,0,0
656,349,239,140,86,10,0,3,0,0
657,348,250,149,92,8,0,1,0,0
658,348,231,144,76,10,0,1,0,0
659,347,234,146,82,6,0,0,0,0
660,349,242,153,79,7,0,3,0,0
661,349,224,110,102,11,0,1,0,0
662,350,242,132,96,11,0,3,0,0
663,347,216,120,92,4,0,0,0,0
664,346,236,126,103,6,0,1,0,0
665,349,222,137,78,7,0,0,0,0
666,347,247,151,87,9,0,0,0,0
667,345,224,134,76,13,0,1,0,0
668,350,236,129,93,10,0,4,0,0
669,349,242,154,84,4,0,0,0,0
670,347,247,142,93,11,0,1,0,0
671,346,235,143,83,7,1,1,0,0
672,349,236,147,84,5,0,0,0,0
673,349,242,138,84,19,1,0,0,0
674,349,249,149,89,10,0,1,0,0
675,348,247,152,84,9,0,2,0,0
676,347,236,141,79,16,0,0,0,0
677,348,240,155,74,10,0,1,0,0
678,347,251,155,87,7,0,2,0,0
679,348,226,122,92,12,0,0,0,0
680,345,223,124,85,13,0,1,0,0
681,348,240,142,90,5,0,3,0,0
682,348,238,121,105,10,0,2,0,0
683,348,229,133,87,7,0,1,0,1
684,347,230,135,86,9,0,0,0,0
685,348,225,131,88,5,0,1,0,0
686,350,230,132,90,7,0,1,0,0
687,346,228,135,88,4,0,1,0,0
688,346,242,148,85,7,0,0,0,2
