comuna,mesa,sum(registrados),sum(votaron),sum(pro),sum(eco),sum(blanco),sum(impugnado),sum(nulo),sum(recurrido),sum(tecnico)
3,1183,3749,2409,1027,1209,136,0,34,3,0
3,1194,2729,1782,822,846,88,0,22,0,4
3,1202,2389,1558,650,789,92,1,26,0,0
3,1209,1019,660,307,315,32,0,6,0,0
3,1212,1362,896,388,440,58,0,10,0,0
3,1216,3449,2225,1044,1044,110,1,23,0,3
3,1226,3101,2026,901,983,123,0,18,1,0
3,1235,3783,2429,1120,1134,145,0,26,3,1
3,1246,2412,1580,709,762,94,0,13,0,2
3,1253,3429,2256,1039,1053,137,0,27,0,0
3,1263,1369,917,427,423,60,0,7,0,0
3,1267,2392,1513,685,692,116,0,20,0,0
3,1274,1710,1100,482,520,84,0,14,0,0
3,1279,1369,881,405,426,43,0,7,0,0
3,1283,3415,2147,980,1006,127,0,33,1,0
3,1293,4184,3045,1367,1434,200,0,44,0,0
3,1305,4873,3544,1618,1688,195,5,33,1,4
3,1319,3111,2077,915,1031,108,0,19,1,3
3,1328,2764,1928,816,957,130,0,24,0,1
3,1336,2758,1931,875,910,124,0,22,0,0
3,1344,3113,2124,919,1046,124,2,31,0,2
3,1353,4502,3090,1342,1504,201,0,42,0,1
3,1366,1723,1149,535,531,62,2,19,0,0
3,1371,3805,2602,1201,1219,151,3,27,0,1
3,1382,2416,1634,719,782,111,0,17,0,5
3,1389,2760,1865,846,878,113,0,28,0,0
3,1397,3801,2522,1152,1172,161,1,35,0,1
3,1408,3462,2340,1057,1125,126,1,30,0,1
4,1418,4888,3421,1634,1538,213,5,31,0,0
4,1432,4889,3497,1636,1621,209,1,29,0,1
4,1446,2442,1709,765,816,108,1,13,3,3
4,1453,4063,2832,1251,1382,157,0,41,0,1
4,1464,1687,1079,471,534,55,0,19,0,0
4,1468,4048,2968,1312,1450,176,0,28,0,2
4,1480,3080,2114,1056,888,150,0,18,0,2
4,1489,1713,1209,593,527,75,0,12,0,2
4,1494,2058,1436,730,608,79,0,18,1,0
4,1500,2659,1853,838,903,97,2,12,0,1
4,1508,1997,1381,672,624,72,0,13,0,0
4,1514,1999,1228,564,572,79,1,12,0,0
4,1519,4537,2521,1105,1234,161,6,15,0,0
4,1532,4530,2673,1181,1297,182,0,11,0,2
4,1545,4520,2524,1053,1304,158,0,9,0,0
4,1558,3495,2235,1134,949,131,1,20,0,0
4,1568,2098,1363,676,604,73,0,10,0,0
4,1574,1391,909,437,412,53,0,6,1,0
4,1578,2104,1350,734,543,66,0,7,0,0
4,1584,2798,1782,940,725,97,3,17,0,0
4,1592,2443,1589,759,716,108,0,6,0,0
4,1599,2740,1868,901,843,89,0,34,0,1
4,1607,2388,1661,817,736,82,0,25,0,1
4,1614,2746,1920,912,888,103,1,16,0,0
4,1622,2734,1825,874,828,110,0,8,0,5
4,1630,1710,1160,611,480,59,1,9,0,0
4,1635,3811,2694,1432,1078,158,1,22,0,3
4,1646,3817,2754,1439,1132,151,0,31,0,1
4,1657,2069,1304,696,525,77,0,6,0,0
4,1662,4845,3411,1749,1454,173,2,31,0,2
4,1676,4089,2949,1574,1194,154,0,27,0,0
4,1688,6113,4432,2427,1758,201,0,42,1,3
4,1706,3828,2504,1173,1153,167,1,9,1,0
4,1717,2780,1749,850,797,92,0,10,0,0
4,1725,3820,2419,1160,1097,140,4,15,0,3
4,1736,1389,885,415,403,57,0,10,0,0
4,1740,2779,1784,833,824,111,0,16,0,0
4,1748,1377,907,443,422,37,0,1,3,1
4,1752,2773,1765,786,883,87,0,9,0,0
4,1760,2781,1799,861,803,118,0,17,0,0
4,1768,1729,1116,552,487,68,2,7,0,0
4,1773,3113,1943,909,888,133,0,13,0,0
4,1782,4541,3138,1492,1447,168,0,26,5,0
4,1795,3490,2422,1109,1132,156,0,25,0,0
4,1805,2436,1622,765,732,113,0,12,0,0
4,1812,3840,2602,1247,1185,154,0,15,1,0
4,1823,1733,1164,582,500,75,0,7,0,0
4,1828,2088,1452,717,638,83,0,12,2,0
4,1834,1738,1187,592,523,58,0,14,0,0
4,1839,2077,1421,686,635,69,0,31,0,0
4,1845,2076,1448,684,664,75,1,24,0,0
4,1851,2431,1658,779,762,87,1,28,1,0
4,1858,2083,1404,658,626,101,0,17,2,0
4,1864,1393,938,435,433,52,4,10,3,1
4,1868,3119,2014,957,922,115,0,20,0,0
4,1877,4181,2873,1357,1335,153,0,28,0,0
4,1889,3132,2204,993,1057,138,0,14,1,1
4,1898,1742,1219,539,594,71,1,13,0,1
4,1903,2785,1926,913,886,106,0,21,0,0
4,1911,2434,1702,773,795,111,0,18,0,5
4,1918,4498,3154,1550,1440,136,0,21,0,7
5,1931,2094,1509,677,742,78,2,9,0,1
5,1937,4192,3086,1303,1552,186,0,42,0,3
5,1949,3491,2524,1029,1300,162,0,28,0,5
5,1959,4449,3126,1358,1564,171,1,28,0,4
5,1971,2783,1983,807,1034,121,0,19,0,2
5,1979,2434,1750,734,885,111,0,20,0,0
5,1986,2778,1943,789,1011,115,0,28,0,0
5,1994,4863,3485,1421,1817,202,0,33,0,12
5,2008,3507,2556,1088,1284,165,0,18,0,1
5,2018,4194,3049,1329,1511,178,2,24,0,5
5,2030,2794,2009,865,1003,116,0,24,0,1
5,2038,2101,1518,621,777,97,0,23,0,0
5,2044,2799,2039,892,1015,111,1,20,0,0
5,2052,3812,2777,1227,1369,152,0,26,2,1
5,2063,2768,2032,869,1017,118,2,24,0,2
5,2071,1729,1226,536,605,71,1,13,0,0
5,2076,4759,3299,1520,1583,162,1,24,8,1
5,2089,7946,5572,2399,2783,333,0,56,0,1
5,2096,2772,1994,878,970,123,1,22,0,0
5,2104,3814,2718,1171,1350,174,3,18,1,1
5,2125,7618,5338,2380,2594,309,3,44,0,8
5,2147,1732,1175,501,593,70,0,11,0,0
5,2158,4509,3151,1385,1548,176,0,42,0,0
5,2171,4503,3099,1384,1502,191,0,22,0,0
5,2184,4869,3360,1432,1698,194,0,36,0,0
5,2198,2090,1466,621,742,92,0,11,0,0
5,2204,2439,1701,674,894,123,0,7,0,3
5,2211,6595,4461,1874,2291,250,2,43,0,1
5,2230,6501,4233,1768,2142,277,1,43,0,2
5,2248,5213,3598,1533,1809,219,6,29,1,1
5,2263,3456,2298,1014,1124,129,0,30,1,0
5,2273,1733,1210,519,612,72,0,7,0,0
5,2278,3449,2336,1014,1162,148,0,12,0,0
5,2288,5129,3616,1565,1832,188,1,28,1,1
5,2303,2732,1898,822,961,96,2,17,0,0
5,2311,2047,1420,603,712,94,0,10,0,1
5,2317,3423,2350,987,1212,128,0,22,0,1
